province,territoire,village_chdc,latitude,longitude,meilleur_candidat_grid3,distance_m,similarite
Ituri,Aru,Abarama Gr Lagbo v,3.310444,30.560707,Bangilo,1474,0.29
Ituri,Aru,Abiridrio Gr Ofika,2.935286,30.68545,,,
Ituri,Aru,Abiziku Gr Rumu,3.429101,30.850355,Nyori,1929,0.17
Ituri,Aru,Abuguze Gr Rumu,3.61256,30.718742,Nyeite,1535,0.15
Ituri,Aru,Adhule Gr Oli,3.166579,30.72041,Lamila,1531,0.33
Ituri,Aru,Adibani Gr Rumu,3.437066,30.83139,Rikazu,136,0.15
Ituri,Aru,Adibu Gr Popo,3.188743,30.491426,Adhriko,1114,0.5
Ituri,Aru,Adja Gr Adja,2.907577,30.204563,Bhaseko,1586,0.18
Ituri,Aru,Adomi Gr Oli,3.2,30.516666,Morodo,1942,0.36
Ituri,Aru,Adranga Gr Djamba,2.90161,30.44625,Payinga,1496,0.57
Ituri,Aru,Adravu Gr Nyatsa Odru,2.802521,30.751265,Dradeni,401,0.46
Ituri,Aru,Adumi Gr Adumi,3.307436,30.809595,Ligo,1602,0.22
Ituri,Aru,Aga Gr Amaguna,3.032358,30.7523,Alio,1594,0.29
Ituri,Aru,Agani Gr Kumuru,3.34464,30.784733,Pisa,1971,0.22
Ituri,Aru,Agoroba Gr Rumu,3.581929,30.7765,Nyagoro,668,0.71
Ituri,Aru,Agura Gr Rumu,3.498682,30.78052,Azangani,1919,0.46
Ituri,Aru,Akaba Gr Ombi Anzi,2.985435,30.634981,Arikari,1141,0.5
Ituri,Aru,Alabhua Gr Araba,2.902896,30.834772,Ambala,560,0.46
Ituri,Aru,Alio Gr Atekule,2.07902,30.87903,Ngbavi,1314,0.4
Ituri,Aru,Alivu Gr Apinaka,2.912223,30.578054,Andruvu,1348,0.5
Ituri,Aru,Amaguna Gr Ofika,2.866669,30.85,Maligbanga,1206,0.59
Ituri,Aru,Amatre Gr Nyatsa-Odru,2.82731,30.763445,Buranga 1,1871,0.27
Ituri,Aru,Ambarau Gr Jurupani,2.997384,30.782421,Ewadri,1031,0.31
Ituri,Aru,Ambimaro Gr Pop,3.304584,30.59439,,,
Ituri,Aru,Amboto Gr Panduru,2.84693,30.794334,Bileko,895,0.33
Ituri,Aru,Ameri Gr Nyata Odru,2.713889,30.654167,Adaru,1014,0.4
Ituri,Aru,Ameri Gr Nyata Odru,2.723136,30.654867,Adaru,364,0.4
Ituri,Aru,Andevu Gr Ovisoma,3.127553,30.656755,Danya,291,0.36
Ituri,Aru,Angiria Gr Nderi,3.103749,30.6724,Adomi Mite,697,0.35
Ituri,Aru,Anyara Gr Lolo,3.133332,30.683334,Onya 1 2,1328,0.43
Ituri,Aru,Anyoro Coll Aluru Gr Odru,2.945795,30.583237,Anyoro Ndua,1106,0.57
Ituri,Aru,Anyu Gr Pabir,3.104352,30.755283,Nderi 2,1804,0.18
Ituri,Aru,Anzikini Gr Inzi,3.46988,30.6592,Azingini,1110,0.75
Ituri,Aru,Apetiko Gr Rumu,3.511749,30.771723,Leiko,1866,0.67
Ituri,Aru,Apinaka Gr Apinaka,2.9175,30.5693,Mbaraka,1377,0.57
Ituri,Aru,Apodo Gr Auko,2.816666,30.683334,Alionga,440,0.33
Ituri,Aru,Araka Gr Nyata Odru,2.7,30.616667,Okala,1645,0.4
Ituri,Aru,Arba Gr Rumu,3.635471,30.782242,Ranyaka,1233,0.36
Ituri,Aru,Arie Gr Rumu,3.439429,30.7694,Drimu,876,0.44
Ituri,Aru,Ariko Gr Nderi,3.118305,30.77086,Ovisoni,273,0.33
Ituri,Aru,Arile Gr Rumu,3.56996,30.684965,Liga,1330,0.22
Ituri,Aru,Ariwara Gr Angilia,3.138509,30.69076,Erivo,813,0.33
Ituri,Aru,Ariwara Gr Angilia,3.11554,30.70152,Andia,108,0.5
